Date,NetPnL,TradesOpened
2019-01-07,1012.43,1
2019-01-10,-1141.54,3
2019-01-11,-2552.14,5
2019-01-14,-469.34,5
2019-01-15,149.30,2
2019-01-16,551.63,4
2019-01-17,338.95,2
2019-01-18,1232.53,1
2019-01-21,32.22,2
2019-01-22,1057.57,2
2019-01-23,129.78,4
2019-01-24,-545.90,6
2019-01-25,-154.34,1
2019-01-28,0.00,1
2019-01-29,-1038.85,5
2019-01-30,1093.33,2
2019-01-31,21.69,1
2019-02-01,-1894.93,4
2019-02-04,980.05,4
2019-02-05,894.31,1
2019-02-06,75.34,2
2019-02-07,103.90,3
2019-02-08,-683.29,3
2019-02-11,1080.97,3
2019-02-12,-926.17,2
2019-02-13,-928.49,2
2019-02-14,1984.63,4
2019-02-15,-2001.03,3
2019-02-17,-9.52,1
2019-02-18,-496.10,5
2019-02-19,-906.29,3
2019-02-20,472.77,1
2019-02-21,-360.07,2
2019-02-22,-2422.94,8
2019-02-25,602.53,6
2019-02-26,-383.33,2
2019-02-27,846.04,0
2019-02-28,2555.55,5
2019-03-01,487.12,2
2019-03-03,0.00,1
2019-03-04,-202.86,0
2019-03-05,608.79,1
2019-03-12,-598.94,1
2019-03-13,-490.53,1
2019-03-14,-463.03,4
2019-03-15,-263.06,5
2019-03-18,-661.94,6
2019-03-19,353.88,3
2019-03-20,-2473.97,5
2019-03-21,-524.97,2
2019-03-22,-671.30,1
2019-03-24,0.00,1
2019-03-25,-813.86,3
2019-03-26,-0.20,1
2019-03-27,-1035.07,7
2019-03-28,-953.82,4
2019-03-29,-978.20,2
2019-03-31,0.00,1
2019-04-01,-2199.36,4
2019-04-02,43.93,4
2019-04-03,126.40,5
2019-04-04,-1908.15,6
2019-04-05,-1598.14,3
2019-04-08,-569.59,4
2019-04-09,-1287.80,3
2019-04-10,226.53,3
2019-04-11,-6.51,0
2019-04-12,14.64,3
2019-04-15,1639.08,5
2019-04-16,1098.18,3
2019-04-17,-552.57,5
2019-04-18,-443.36,2
2019-04-19,-297.50,1
2019-04-21,-28.23,0
2019-04-23,553.51,2
2019-04-25,254.74,3
2019-04-26,-159.50,2
2019-04-28,-436.89,0
2019-04-29,100.35,4
2019-04-30,561.06,5
2019-05-01,1297.96,2
2019-05-02,-207.32,1
2019-05-03,2063.22,2
2019-05-06,-900.39,6
2019-05-07,0.00,2
2019-05-08,-504.05,2
2019-05-09,-453.15,2
2019-05-10,152.90,4
2019-05-12,-26.45,0
2019-05-13,497.15,2
2019-05-14,-243.07,3
2019-05-15,0.09,2
2019-05-16,-293.98,0
2019-05-17,999.25,1
2019-05-20,0.00,2
2019-05-21,-76.29,1
2019-05-22,527.83,1
2019-05-23,1584.52,2
2019-05-24,0.00,2
2019-05-27,-339.27,2
2019-05-28,-1084.15,3
2019-05-29,-92.44,5
2019-05-30,-1765.83,2
2019-05-31,-1383.47,3
2019-06-03,-675.43,4
2019-06-04,0.00,1
2019-06-05,2002.66,1
2019-06-06,-2037.60,9
2019-06-07,1272.04,3
2019-06-10,54.23,2
2019-06-11,1694.67,5
2019-06-12,69.52,5
2019-06-13,-615.12,5
2019-06-14,2650.08,0
2019-06-18,0.00,2
2019-06-19,-456.38,3
2019-06-20,980.35,1
2019-06-21,37.87,2
2019-06-24,144.04,0
2019-06-26,-702.84,5
2019-06-27,1045.57,0
2019-06-28,-745.68,4
2019-07-01,-741.71,3
2019-07-02,-640.72,1
2019-07-03,0.00,3
2019-07-04,70.24,2
2019-07-05,3048.65,2
2019-07-08,-1475.27,4
2019-07-09,-571.36,1
