Date,NetPnL,TradesOpened
2019-01-03,1240.07,15
2019-01-04,-497.34,13
2019-01-07,-377.35,10
2019-01-08,-1145.54,7
2019-01-09,-3117.46,11
2019-01-10,-411.67,14
2019-01-11,-1324.19,11
2019-01-14,-2147.19,9
2019-01-15,1001.15,9
2019-01-16,-641.93,6
2019-01-17,-2561.18,16
2019-01-18,295.47,10
2019-01-21,-3219.90,10
2019-01-22,-1879.33,8
2019-01-23,1902.87,13
2019-01-24,4141.55,12
2019-01-25,622.16,14
2019-01-28,3643.22,13
2019-01-29,-2612.35,15
2019-01-30,772.40,10
2019-01-31,1562.22,7
2019-02-01,3743.26,15
2019-02-04,-4648.64,16
2019-02-05,-885.60,13
2019-02-06,-4110.00,17
2019-02-07,948.80,9
2019-02-08,-997.49,10
2019-02-11,-1226.47,5
2019-02-12,-1646.54,15
2019-02-13,2068.36,9
2019-02-14,-686.17,17
2019-02-15,112.06,10
2019-02-18,-992.60,7
2019-02-19,1674.29,11
2019-02-20,-978.76,9
2019-02-21,-1351.97,7
2019-02-22,-1900.08,16
2019-02-25,1486.84,10
2019-02-26,3085.08,10
2019-02-27,2759.19,9
2019-02-28,-2317.01,13
2019-03-01,375.61,12
2019-03-04,1076.59,12
2019-03-05,-3269.67,15
2019-03-06,-166.67,9
2019-03-07,-1318.84,14
2019-03-08,1621.12,6
2019-03-11,-3097.44,18
2019-03-12,-2734.68,15
2019-03-13,-206.02,15
2019-03-14,-4176.12,12
2019-03-15,-5004.34,13
2019-03-18,1340.73,11
2019-03-19,-947.94,8
2019-03-20,1786.70,17
2019-03-21,5147.20,19
2019-03-22,-1678.28,20
2019-03-25,1444.27,13
2019-03-26,2475.10,12
2019-03-27,-1913.07,15
2019-03-28,1003.77,13
2019-03-29,-1772.02,8
2019-04-01,-311.75,5
2019-04-02,-992.57,8
2019-04-03,-1081.84,13
2019-04-04,1653.36,5
2019-04-05,3247.89,6
2019-04-08,463.44,5
2019-04-09,-2098.22,13
2019-04-10,-2051.38,3
2019-04-11,728.20,5
2019-04-12,975.03,5
2019-04-15,3226.81,11
2019-04-16,986.89,7
2019-04-17,2842.98,13
2019-04-18,2830.23,7
2019-04-19,-520.95,5
2019-04-22,-361.55,2
2019-04-23,2310.62,6
2019-04-24,-2979.77,10
2019-04-25,-428.99,8
2019-04-26,-208.21,7
2019-04-29,-383.75,13
2019-04-30,1130.89,9
2019-05-01,-2395.10,20
2019-05-02,-1635.31,12
2019-05-03,-2045.43,5
2019-05-06,1125.05,7
2019-05-07,3661.31,9
2019-05-08,1885.33,11
2019-05-09,-3644.97,15
2019-05-10,1841.33,8
2019-05-13,4761.18,8
2019-05-14,-1246.92,12
2019-05-15,618.33,15
2019-05-16,-245.62,15
2019-05-17,27.11,3
2019-05-20,-1536.51,13
2019-05-21,-5017.45,12
2019-05-22,1441.87,16
2019-05-24,458.78,7
2019-05-27,66.04,6
2019-05-28,-2556.62,13
2019-05-29,-4926.37,13
2019-05-30,595.73,5
2019-05-31,-1359.48,13
2019-06-03,-1618.23,11
2019-06-04,-1024.16,12
2019-06-05,-1897.57,13
2019-06-06,-580.60,8
2019-06-07,-90.61,6
2019-06-10,-913.12,11
2019-06-11,2682.66,15
2019-06-12,-2110.19,13
2019-06-13,-1398.54,6
2019-06-14,1231.80,8
2019-06-17,-1994.33,10
2019-06-18,-1815.46,9
2019-06-19,798.81,7
2019-06-20,221.38,17
2019-06-21,54.15,16
2019-06-24,-1736.60,9
2019-06-25,276.47,7
2019-06-26,-267.35,5
2019-06-27,-916.42,10
2019-06-28,-1554.66,10
2019-07-01,-897.28,9
2019-07-02,-18.68,14
2019-07-03,-1091.41,6
2019-07-04,-1163.62,7
2019-07-05,2887.00,10
2019-07-08,-1015.35,9
2019-07-09,-672.89,13
2019-07-10,-955.31,13
2019-07-11,2138.03,9
2019-07-12,3011.03,12
2019-07-15,1986.67,13
2019-07-16,1729.24,7
2019-07-17,196.96,7
2019-07-18,1704.31,10
2019-07-19,-602.77,9
2019-07-22,266.02,16
2019-07-23,-1772.09,10
2019-07-24,132.00,10
2019-07-25,-220.81,11
2019-07-26,299.72,7
2019-07-29,4124.82,8
2019-07-30,1154.90,12
2019-07-31,-984.82,7
2019-08-01,3093.03,15
2019-08-02,16.69,16
2019-08-05,-813.30,13
2019-08-06,-1461.82,16
2019-08-07,-1252.83,11
2019-08-08,-322.17,8
2019-08-09,395.97,6
2019-08-12,-685.74,19
2019-08-13,847.84,9
2019-08-14,-209.85,3
2019-08-15,1519.15,4
2019-08-16,883.01,15
2019-08-19,-441.80,16
2019-08-20,102.29,20
2019-08-21,-47.78,6
2019-08-22,3570.70,14
2019-08-23,1455.17,8
2019-08-26,1792.14,11
2019-08-27,5808.42,13
2019-08-28,-800.58,14
2019-08-29,-542.59,15
2019-08-30,-2986.30,10
2019-09-02,1854.31,9
2019-09-03,-981.54,11
2019-09-04,2604.37,8
2019-09-05,2432.33,11
2019-09-06,247.27,9
2019-09-09,-993.12,16
2019-09-10,-4183.80,17
2019-09-11,1288.00,9
2019-09-12,5470.98,15
2019-09-13,1607.07,9
2019-09-16,-1754.84,10
2019-09-17,-1407.86,11
2019-09-18,-1456.78,17
2019-09-19,93.60,11
2019-09-20,4518.86,9
2019-09-23,-2743.34,19
2019-09-24,-3147.23,9
2019-09-25,3656.37,15
2019-09-26,-1249.29,10
2019-09-27,-935.43,11
2019-09-30,82.67,4
2019-10-01,-959.04,16
2019-10-02,1190.00,17
2019-10-03,2434.17,8
2019-10-04,1082.62,7
2019-10-07,-2496.05,17
2019-10-08,3987.31,10
2019-10-09,-3842.97,16
2019-10-10,-889.29,13
2019-10-11,-1034.95,11
2019-10-14,345.99,4
2019-10-15,233.94,7
2019-10-16,-2026.64,5
2019-10-17,1912.07,7
2019-10-18,-165.98,14
2019-10-21,-579.30,14
2019-10-22,5679.97,19
2019-10-23,-929.55,8
2019-10-24,-2297.81,16
2019-10-25,2269.01,15
2019-10-28,-1899.75,10
2019-10-29,-3827.98,17
2019-10-30,-2493.89,13
2019-10-31,3611.58,13
2019-11-01,-3032.07,7
2019-11-04,-1520.80,18
2019-11-05,-421.79,18
2019-11-06,203.67,10
2019-11-07,-967.07,15
2019-11-08,-1809.14,12
2019-11-11,2268.56,11
2019-11-12,-1118.45,10
2019-11-13,-685.94,11
2019-11-14,-2760.37,16
2019-11-15,-4260.87,14
2019-11-18,-1038.55,13
2019-11-19,-18.89,13
2019-11-20,-2189.23,18
2019-11-21,865.66,12
2019-11-22,1519.03,12
2019-11-25,-1313.86,5
2019-11-26,-339.49,11
2019-11-27,-2176.11,10
2019-11-28,-501.22,8
2019-11-29,151.40,12
2019-12-02,-430.21,12
2019-12-03,3292.69,12
2019-12-04,-5545.48,18
2019-12-05,-762.55,18
2019-12-06,-561.73,7
2019-12-09,1669.16,10
2019-12-10,-1158.13,10
2019-12-11,-196.29,11
2019-12-12,-1964.15,8
2019-12-13,2365.57,14
2019-12-16,-388.50,11
2019-12-17,2515.06,11
2019-12-18,-2206.42,10
2019-12-19,-4575.80,10
2019-12-20,-1232.71,13
