Date,NetPnL,TradesOpened
2019-01-03,-85.22,2
2019-01-04,1103.26,1
2019-01-07,231.81,1
2019-01-08,-469.34,1
2019-01-09,2149.92,4
2019-01-10,-1073.82,6
2019-01-11,772.61,3
2019-01-14,-527.30,1
2019-01-15,97.29,1
2019-01-16,46.89,2
2019-01-17,347.48,1
2019-01-18,675.15,5
2019-01-21,-903.67,4
2019-01-22,-676.89,2
2019-01-23,-873.82,2
2019-01-25,33.80,1
2019-01-28,388.06,3
2019-01-29,234.43,3
2019-01-30,1016.89,2
2019-01-31,-216.27,1
2019-02-01,-153.32,2
2019-02-04,-256.16,1
2019-02-05,-368.15,2
2019-02-06,-709.17,4
2019-02-07,-485.23,1
2019-02-08,-881.64,3
2019-02-11,-303.46,4
2019-02-12,281.05,4
2019-02-13,134.32,1
2019-02-18,-355.90,1
2019-02-20,622.95,2
2019-02-21,-1216.30,5
2019-02-22,-861.92,5
2019-02-27,-600.88,2
2019-02-28,-89.32,1
2019-03-01,-271.90,3
2019-03-04,990.16,3
2019-03-05,772.55,3
2019-03-06,-1099.05,2
2019-03-07,896.82,1
2019-03-08,756.78,2
2019-03-11,-1808.23,4
2019-03-12,-646.28,2
2019-03-13,1267.67,2
2019-03-14,135.82,3
2019-03-15,-56.23,2
2019-03-18,593.71,3
2019-03-19,-818.71,2
2019-03-20,2229.31,3
2019-03-21,663.83,3
2019-03-22,204.40,4
2019-03-25,-98.86,2
2019-03-26,-493.79,1
2019-03-27,-727.96,2
2019-03-29,-427.98,2
2019-04-01,-97.97,4
2019-04-03,-155.81,2
2019-04-05,20.03,5
2019-04-07,0.00,1
2019-04-08,-52.21,3
2019-04-09,-967.77,2
2019-04-10,652.17,2
2019-04-11,-553.99,1
2019-04-12,-248.83,1
2019-04-15,-637.97,1
2019-04-16,-177.95,3
2019-04-18,894.29,4
2019-04-23,-512.48,1
2019-04-24,-247.95,1
2019-04-25,-31.53,3
2019-04-26,109.21,2
2019-04-29,493.18,5
2019-04-30,-136.51,2
2019-05-01,-495.91,4
2019-05-03,656.42,2
2019-05-06,29.34,1
2019-05-07,536.40,3
2019-05-08,-514.85,1
2019-05-09,-299.94,2
2019-05-13,109.86,2
2019-05-14,109.07,3
2019-05-15,-360.59,3
2019-05-16,-133.67,3
2019-05-17,66.76,1
2019-05-20,-87.91,4
2019-05-21,-346.17,2
2019-05-22,-710.13,4
2019-05-23,-387.28,2
2019-05-24,143.21,2
2019-05-27,-374.30,5
2019-05-28,-634.86,5
2019-05-29,-308.13,5
2019-05-30,-370.99,2
2019-05-31,-5.65,4
2019-06-03,-163.03,3
2019-06-04,34.37,4
2019-06-06,238.66,2
2019-06-07,-1286.12,3
2019-06-10,741.38,2
2019-06-11,-608.15,5
2019-06-13,-173.44,2
2019-06-14,418.35,1
2019-06-17,-363.73,2
2019-06-18,-1616.13,7
2019-06-19,-136.21,2
2019-06-20,-73.57,4
2019-06-21,90.73,1
2019-06-24,-1244.52,6
2019-06-25,798.90,3
2019-06-26,41.89,1
2019-06-27,-22.48,2
2019-06-28,-668.34,2
2019-07-01,39.95,1
2019-07-02,322.91,1
2019-07-03,-171.08,2
2019-07-04,51.31,1
2019-07-05,-262.38,4
