"Label","Score","Symbol","TF","Strategy","RunId","Reason","Trades","ExpectancyR","DrawdownPct","Consistency","VersionKind"
"bb-squeeze/AUDUSD/H1",,"AUDUSD","H1","bb-squeeze","771e2470","trades=13 below floor 20 (D3)","13","0","0","0","sv1-null"
"bb-squeeze/AUDUSD/H4",,"AUDUSD","H4","bb-squeeze","6123f64c","trades=7 below floor 20 (D3)","7","0","0","0","sv1-null"
"bb-squeeze/BTCUSD/H1",,"BTCUSD","H1","bb-squeeze","ecb3b925","trades=9 below floor 20 (D3)","9","0","0","0","sv1-null"
"bb-squeeze/BTCUSD/H4",,"BTCUSD","H4","bb-squeeze","705c19f9","trades=12 below floor 20 (D3)","12","0","0","0","sv1-null"
"bb-squeeze/ETHUSD/H1",,"ETHUSD","H1","bb-squeeze","468245ee","trades=18 below floor 20 (D3)","18","0","0","0","sv1-null"
"bb-squeeze/ETHUSD/H4","70.1","ETHUSD","H4","bb-squeeze","8027be6a",,"45","0.20188608858326226","0.00123321753446683","50","sv1-partial"
"bb-squeeze/EURGBP/H1","55.9","EURGBP","H1","bb-squeeze","575d9c61",,"29","-0.00690221120579309","0.0171037034439942","50","sv1-partial"
"bb-squeeze/EURGBP/H4",,"EURGBP","H4","bb-squeeze","d687dd8e","trades=19 below floor 20 (D3)","19","0","0","0","sv1-null"
"bb-squeeze/EURJPY/H1",,"EURJPY","H1","bb-squeeze","47cb8815","trades=9 below floor 20 (D3)","9","0","0","0","sv1-null"
"bb-squeeze/EURJPY/H4",,"EURJPY","H4","bb-squeeze","2eaf9fc6","trades=6 below floor 20 (D3)","6","0","0","0","sv1-null"
"bb-squeeze/EURUSD/H1",,"EURUSD","H1","bb-squeeze","f9087d0b","trades=5 below floor 20 (D3)","5","0","0","0","sv1-null"
"bb-squeeze/EURUSD/H4",,"EURUSD","H4","bb-squeeze","3983c8a2","trades=7 below floor 20 (D3)","7","0","0","0","sv1-null"
"bb-squeeze/GBPJPY/H1",,"GBPJPY","H1","bb-squeeze","b14b9c45","trades=10 below floor 20 (D3)","10","0","0","0","sv1-null"
"bb-squeeze/GBPJPY/H4",,"GBPJPY","H4","bb-squeeze","04f4cca8","trades=12 below floor 20 (D3)","12","0","0","0","sv1-null"
"bb-squeeze/GBPUSD/H1","50.8","GBPUSD","H1","bb-squeeze","b4267951",,"20","0.05307012853248781","0.00926543546758291","0","sv1-partial"
"bb-squeeze/GBPUSD/H4","50.6","GBPUSD","H4","bb-squeeze","9de67529",,"29","-0.10128198715786263","0.0283375175130073","20","sv1-partial"
"bb-squeeze/NZDUSD/H1",,"NZDUSD","H1","bb-squeeze","43630ddb","trades=5 below floor 20 (D3)","5","0","0","0","sv1-null"
"bb-squeeze/NZDUSD/H4","58.2","NZDUSD","H4","bb-squeeze","719638cf",,"30","0.032959237578050506","0.00738619681533006","50","sv1-partial"
